State Name,No.of Operational Public Charging Stations
Andaman & Nicobar,3
Andhra Pradesh,222
Arunachal Pradesh,9
Assam,48
Bihar,83
Chandigarh,6
Chhattisgarh,46
Delhi,1845
Goa,44
Gujarat,195
Haryana,232
Himachal Pradesh,27
Jammu & Kashmir,24
Jharkhand,60
Karnataka,704
Kerala,192
Lakshadweep,1
Madhya Pradesh,174
Maharashtra,660
Manipur,16
Meghalaya,19
Nagaland,6
Odisha,117
Puducherrv,4
Punjab,126
Raiasthan,254
Sikkim,1
Tamil Nadu,441
Telangana,365
Tripura,18
Dadar &Nagar Haveliand Daman &Diu,1
Uttar Pradesh,406
Uttarakhand,48
West Bengal,189
